keyword,category,priority
social security benefits,government,5
medicare eligibility,healthcare,5
passport renewal,travel,4
drivers license requirements,dmv,4
voter registration,government,3
unemployment benefits,employment,4
taxes deadline,finance,3
jury duty,legal,2
building permits,government,2
food stamps eligibility,government,4
student loan forgiveness,education,5
401k withdrawal rules,retirement,4
home warranty coverage,insurance,3
car registration renewal,dmv,3
fishing license,recreation,2
hunting license,recreation,2
birth certificate,documents,3
marriage license,documents,3
name change process,legal,3
small claims court,legal,2
